JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,988     "," 2,311     "," 2,677     "," 1,210     "," 3,778     ", 2.95     , 2.96     , 2.94     ,
ARAD," 2,642     "," 1,344     "," 1,298     ", 852     ," 1,790     ", 1.26     , 1.39     , 1.15     ,
ARGES," 7,796     "," 3,766     "," 4,030     "," 1,920     "," 5,876     ", 3.05     , 3.14     , 2.97     ,
BACAU," 6,431     "," 2,710     "," 3,721     "," 1,146     "," 5,285     ", 2.99     , 2.88     , 3.08     ,
BIHOR," 2,808     "," 1,409     "," 1,399     "," 1,029     "," 1,779     ", 1.06     , 1.18     , 0.96     ,
BISTRITA NASAUD," 4,015     "," 1,974     "," 2,041     "," 1,506     "," 2,509     ", 3.10     , 3.49     , 2.80     ,
BOTOSANI," 2,833     "," 1,322     "," 1,511     ", 569     ," 2,264     ", 2.07     , 2.06     , 2.08     ,
BRAILA," 3,315     "," 1,359     "," 1,956     ", 390     ," 2,925     ", 2.72     , 2.50     , 2.90     ,
BRASOV," 5,349     "," 2,600     "," 2,749     ", 822     ," 4,527     ", 2.05     , 2.33     , 1.84     ,
BUZAU," 8,070     "," 3,380     "," 4,690     "," 1,073     "," 6,997     ", 4.71     , 4.29     , 5.08     ,
CALARASI," 2,941     "," 1,390     "," 1,551     ", 498     ," 2,443     ", 3.26     , 3.20     , 3.31     ,
CARA?-SEVERIN," 2,287     "," 1,048     "," 1,239     ", 880     ," 1,407     ", 2.16     , 2.28     , 2.07     ,
CLUJ," 4,107     "," 2,057     "," 2,050     "," 1,017     "," 3,090     ", 1.10     , 1.25     , 0.97     ,
CONSTANTA," 5,171     "," 2,951     "," 2,220     "," 1,589     "," 3,582     ", 1.75     , 2.30     , 1.33     ,
COVASNA," 3,834     "," 1,889     "," 1,945     ", 417     ," 3,417     ", 4.50     , 4.76     , 4.27     ,
DAMBOVITA," 4,701     "," 2,303     "," 2,398     ", 809     ," 3,892     ", 2.43     , 2.89     , 2.11     ,
DOLJ," 15,022     "," 6,379     "," 8,643     "," 1,609     "," 13,413     ", 5.63     , 5.29     , 5.90     ,
GALATI," 10,225     "," 4,607     "," 5,618     ", 937     ," 9,288     ", 5.44     , 5.45     , 5.43     ,
GIURGIU," 1,942     "," 1,039     ", 903     , 304     ," 1,638     ", 2.40     , 2.81     , 2.06     ,
GORJ," 3,730     "," 1,767     "," 1,963     "," 1,131     "," 2,599     ", 2.75     , 2.83     , 2.69     ,
HARGHITA," 4,552     "," 2,088     "," 2,464     ", 860     ," 3,692     ", 3.35     , 3.54     , 3.20     ,
HUNEDOARA," 6,316     "," 3,125     "," 3,191     "," 2,738     "," 3,578     ", 3.69     , 3.94     , 3.48     ,
IALOMITA," 3,626     "," 1,660     "," 1,966     ", 600     ," 3,026     ", 3.89     , 3.90     , 3.89     ,
IASI," 8,072     "," 3,541     "," 4,531     ", 720     ," 7,352     ", 2.71     , 2.60     , 2.80     ,
ILFOV, 935     , 549     , 386     , 270     , 665     , 0.44     , 0.62     , 0.32     ,
MARAMURES," 3,352     "," 1,689     "," 1,663     ", 938     ," 2,414     ", 1.68     , 1.86     , 1.53     ,
MEHEDINTI," 5,322     "," 2,243     "," 3,079     ", 744     ," 4,578     ", 5.27     , 4.76     , 5.71     ,
MUNICIPIUL BUCURESTI," 13,537     "," 7,163     "," 6,374     "," 1,470     "," 12,067     ", 1.10     , 1.17     , 1.03     ,
MURES," 5,560     "," 2,499     "," 3,061     ", 801     ," 4,759     ", 2.36     , 2.47     , 2.28     ,
NEAMT," 5,495     "," 2,397     "," 3,098     ", 997     ," 4,498     ", 3.03     , 2.98     , 3.07     ,
OLT," 7,094     "," 3,101     "," 3,993     ", 880     ," 6,214     ", 4.43     , 4.28     , 4.55     ,
PRAHOVA," 5,687     "," 2,884     "," 2,803     "," 1,593     "," 4,094     ", 1.95     , 2.36     , 1.65     ,
SALAJ," 4,237     "," 1,784     "," 2,453     ", 678     ," 3,559     ", 4.07     , 3.90     , 4.20     ,
SATU-MARE," 4,411     "," 1,970     "," 2,441     ", 457     ," 3,954     ", 3.02     , 2.91     , 3.11     ,
SIBIU," 3,457     "," 1,562     "," 1,895     ", 915     ," 2,542     ", 1.76     , 1.82     , 1.71     ,
SUCEAVA," 9,984     "," 4,197     "," 5,787     "," 2,361     "," 7,623     ", 4.34     , 4.04     , 4.59     ,
TELEORMAN," 8,197     "," 3,380     "," 4,817     "," 1,006     "," 7,191     ", 5.88     , 5.07     , 6.62     ,
TIMIS," 2,301     "," 1,234     "," 1,067     ", 873     ," 1,428     ", 0.66     , 0.79     , 0.55     ,
TULCEA," 2,392     "," 1,125     "," 1,267     ", 551     ," 1,841     ", 2.89     , 2.95     , 2.85     ,
VALCEA," 4,501     "," 2,227     "," 2,274     "," 1,440     "," 3,061     ", 2.78     , 3.13     , 2.50     ,
VASLUI," 8,697     "," 3,585     "," 5,112     ", 705     ," 7,992     ", 6.63     , 5.56     , 7.66     ,
VRANCEA," 4,888     "," 2,117     "," 2,771     ", 501     ," 4,387     ", 3.58     , 3.31     , 3.82     ,
Total ," 224,820     "," 103,725     "," 121,095     "," 41,806     "," 183,014     ", 2.57     , 2.61     , 2.54     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
